FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
47163,Tennessee,Sullivan,ARC,"Sullivan County, Tennessee",132231,73974,73774,69206,4568,200,58257,6.19%,44.06%,67575,3353,4.96%,3789,5.61%,7380,10.92%,6813,10.08%,10278,15.21%,11400,16.87%,8083,11.96%,9137,13.52%,3663,5.42%,3679,5.44%,54357,28483,42.15%,4770,7.06%,1171,1.73%,8824,13.06%,12.6
47171,Tennessee,Unicoi,ARC,"Unicoi County, Tennessee",14956,8106,8064,7626,438,42,6850,5.43%,45.80%,7654,656,8.57%,392,5.12%,1001,13.08%,822,10.74%,963,12.58%,1366,17.85%,897,11.72%,1022,13.35%,283,3.70%,252,3.29%,49855,3549,46.37%,481,6.28%,327,4.27%,1307,17.08%,13.4
47173,Tennessee,Union,ARC,"Union County, Tennessee",16123,8676,8676,8181,495,0,7447,5.71%,46.19%,7552,354,4.69%,483,6.40%,800,10.59%,599,7.93%,1259,16.67%,1401,18.55%,955,12.65%,1042,13.80%,346,4.58%,313,4.14%,57094,3134,41.50%,629,8.33%,189,2.50%,1340,17.74%,13.8
47175,Tennessee,Van Buren,ARC,"Van Buren County, Tennessee",5156,2552,2552,2448,104,0,2604,4.08%,50.50%,2434,198,8.13%,177,7.27%,230,9.45%,370,15.20%,306,12.57%,409,16.80%,239,9.82%,354,14.54%,129,5.30%,22,0.90%,44730,1091,44.82%,186,7.64%,27,1.11%,518,21.28%,11.6
47177,Tennessee,Warren,ARC,"Warren County, Tennessee",32671,18420,18399,17684,715,21,14251,3.89%,43.62%,15932,906,5.69%,822,5.16%,1959,12.30%,1572,9.87%,2242,14.07%,3517,22.08%,2140,13.43%,1687,10.59%,675,4.24%,412,2.59%,52948,5929,37.21%,1114,6.99%,215,1.35%,2389,14.99%,14
47179,Tennessee,Washington,ARC,"Washington County, Tennessee",111727,66727,66645,63338,3307,82,45000,4.96%,40.28%,55591,3348,6.02%,3522,6.34%,5335,9.60%,4766,8.57%,7253,13.05%,9878,17.77%,6861,12.34%,7651,13.76%,3429,6.17%,3548,6.38%,58507,19916,35.83%,3078,5.54%,881,1.58%,5332,9.59%,10.8
47185,Tennessee,White,ARC,"White County, Tennessee",21993,11868,11868,11226,642,0,10125,5.41%,46.04%,10716,442,4.12%,838,7.82%,1127,10.52%,1312,12.24%,1807,16.86%,1829,17.07%,1707,15.93%,1099,10.26%,274,2.56%,281,2.62%,48220,4694,43.80%,630,5.88%,153,1.43%,1591,14.85%,14.1
51005,Virginia,Alleghany (+ Covington city),ARC,"Alleghany County, Virginia",12657,6314,6293,6060,233,21,6343,3.70%,50.11%,6309,523,8.29%,457,7.24%,623,9.87%,607,9.62%,758,12.01%,1304,20.67%,628,9.95%,882,13.98%,312,4.95%,215,3.41%,52546,2822,44.73%,351,5.56%,119,1.89%,575,9.11%,8.9
51017,Virginia,Bath,ARC,"Bath County, Virginia",3535,1806,1789,1753,36,17,1729,2.01%,48.91%,1905,116,6.09%,140,7.35%,233,12.23%,135,7.09%,247,12.97%,311,16.33%,282,14.80%,194,10.18%,115,6.04%,132,6.93%,55699,894,46.93%,53,2.78%,10,0.52%,199,10.45%,16.1
51021,Virginia,Bland,ARC,"Bland County, Virginia",5423,2359,2359,2280,79,0,3064,3.35%,56.50%,2235,59,2.64%,123,5.50%,141,6.31%,178,7.96%,344,15.39%,531,23.76%,352,15.75%,358,16.02%,102,4.56%,47,2.10%,59901,1031,46.13%,82,3.67%,30,1.34%,130,5.82%,7.3
51023,Virginia,Botetourt,ARC,"Botetourt County, Virginia",28249,16779,16755,16237,518,24,11470,3.09%,40.60%,12916,433,3.35%,356,2.76%,865,6.70%,789,6.11%,1311,10.15%,2546,19.71%,1840,14.25%,2526,19.56%,1154,8.93%,1096,8.49%,77680,5235,40.53%,410,3.17%,175,1.35%,353,2.73%,5.1
51027,Virginia,Buchanan,ARC,"Buchanan County, Virginia",17373,6370,6370,5990,380,0,11003,5.97%,63.33%,7494,638,8.51%,458,6.11%,1307,17.44%,870,11.61%,1327,17.71%,1114,14.87%,727,9.70%,846,11.29%,81,1.08%,126,1.68%,39591,4107,54.80%,726,9.69%,259,3.46%,1582,21.11%,23.4
51035,Virginia,Carroll (+ Galax city),ARC,"Carroll County, Virginia",24675,12936,12926,12303,623,10,11739,4.82%,47.57%,12141,878,7.23%,659,5.43%,1229,10.12%,1787,14.72%,1592,13.11%,2163,17.82%,1572,12.95%,1646,13.56%,352,2.90%,263,2.17%,49113,5737,47.25%,653,5.38%,279,2.30%,1718,14.15%,12.7
51045,Virginia,Craig,ARC,"Craig County, Virginia",3805,2055,2035,1997,38,20,1750,1.87%,45.99%,1810,86,4.75%,7,0.39%,225,12.43%,79,4.36%,240,13.26%,393,21.71%,176,9.72%,383,21.16%,129,7.13%,92,5.08%,66286,654,36.13%,80,4.42%,47,2.60%,276,15.25%,6.3
51051,Virginia,Dickenson,ARC,"Dickenson County, Virginia",11694,4631,4630,4472,158,1,7063,3.41%,60.40%,5543,503,9.07%,608,10.97%,788,14.22%,572,10.32%,829,14.96%,797,14.38%,594,10.72%,601,10.84%,174,3.14%,77,1.39%,40143,2931,52.88%,587,10.59%,196,3.54%,1346,24.28%,18.1
51063,Virginia,Floyd,ARC,"Floyd County, Virginia",13094,7871,7859,7652,207,12,5223,2.63%,39.89%,6655,537,8.07%,186,2.79%,836,12.56%,447,6.72%,865,13.00%,1079,16.21%,1074,16.14%,1000,15.03%,455,6.84%,176,2.64%,57146,2713,40.77%,209,3.14%,100,1.50%,385,5.79%,5.4
51071,Virginia,Giles,ARC,"Giles County, Virginia",13675,7628,7624,7458,166,4,6047,2.18%,44.22%,6852,283,4.13%,226,3.30%,629,9.18%,722,10.54%,658,9.60%,1787,26.08%,940,13.72%,1016,14.83%,398,5.81%,193,2.82%,61987,2650,38.67%,341,4.98%,97,1.42%,491,7.17%,6.5
51077,Virginia,Grayson,ARC,"Grayson County, Virginia",13010,6228,6228,5963,265,0,6782,4.25%,52.13%,6148,293,4.77%,488,7.94%,997,16.22%,579,9.42%,1047,17.03%,1117,18.17%,732,11.91%,562,9.14%,202,3.29%,131,2.13%,43348,3071,49.95%,524,8.52%,250,4.07%,1014,16.49%,14.4
51089,Virginia,Henry (+ Martinsville city),ARC,"Henry County, Virginia",41929,21435,21301,20188,1113,134,20494,5.23%,48.88%,20411,1268,6.21%,1592,7.80%,2707,13.26%,2518,12.34%,3330,16.31%,3692,18.09%,2214,10.85%,2109,10.33%,681,3.34%,300,1.47%,43694,9592,46.99%,1292,6.33%,913,4.47%,3183,15.59%,12.3
51091,Virginia,Highland,ARC,"Highland County, Virginia",1983,948,948,809,139,0,1035,14.66%,52.19%,1014,16,1.58%,24,2.37%,88,8.68%,156,15.38%,132,13.02%,258,25.44%,116,11.44%,148,14.60%,49,4.83%,27,2.66%,57070,575,56.71%,81,7.99%,4,0.39%,40,3.94%,4.3
51105,Virginia,Lee,ARC,"Lee County, Virginia",18676,7829,7829,7196,633,0,10847,8.09%,58.08%,8324,848,10.19%,726,8.72%,1341,16.11%,801,9.62%,951,11.42%,1446,17.37%,1070,12.85%,661,7.94%,293,3.52%,187,2.25%,41619,4217,50.66%,952,11.44%,286,3.44%,2079,24.98%,22.3
51121,Virginia,Montgomery (+ Radford city),ARC,"Montgomery County, Virginia",86168,48160,47981,46404,1577,179,38008,3.29%,44.11%,36062,4488,12.45%,1247,3.46%,2527,7.01%,2940,8.15%,3487,9.67%,6150,17.05%,4069,11.28%,5696,15.80%,2580,7.15%,2878,7.98%,65270,9270,25.71%,1171,3.25%,510,1.41%,1717,4.76%,9.1
51141,Virginia,Patrick,ARC,"Patrick County, Virginia",14959,7509,7509,7340,169,0,7450,2.25%,49.80%,7779,487,6.26%,556,7.15%,718,9.23%,847,10.89%,1332,17.12%,1028,13.22%,924,11.88%,956,12.29%,438,5.63%,493,6.34%,49180,3894,50.06%,575,7.39%,237,3.05%,751,9.65%,7.1
51155,Virginia,Pulaski,ARC,"Pulaski County, Virginia",28539,15631,15625,15112,513,6,12908,3.28%,45.23%,14455,998,6.90%,611,4.23%,1187,8.21%,1457,10.08%,1539,10.65%,3277,22.67%,1952,13.50%,2033,14.06%,684,4.73%,717,4.96%,59740,5856,40.51%,691,4.78%,248,1.72%,1809,12.51%,8.8
51163,Virginia,Rockbridge (+ Buena Vista city + Lexington city),ARC,"Rockbridge County, Virginia",19232,10637,10597,10181,416,40,8595,3.93%,44.69%,9368,345,3.68%,288,3.07%,751,8.02%,1164,12.43%,1224,13.07%,1704,18.19%,1360,14.52%,1148,12.25%,827,8.83%,557,5.95%,61903,4367,46.62%,449,4.79%,315,3.36%,937,10.00%,5.7
51167,Virginia,Russell,ARC,"Russell County, Virginia",21518,9331,9331,8781,550,0,12187,5.89%,56.64%,10438,776,7.43%,685,6.56%,1412,13.53%,1376,13.18%,1495,14.32%,1823,17.47%,1135,10.87%,1084,10.39%,339,3.25%,313,3.00%,44088,5202,49.84%,1027,9.84%,404,3.87%,1837,17.60%,14.3
51169,Virginia,Scott,ARC,"Scott County, Virginia",18094,8219,8164,7886,278,55,9875,3.41%,54.58%,8838,860,9.73%,625,7.07%,1322,14.96%,699,7.91%,1375,15.56%,1519,17.19%,917,10.38%,946,10.70%,408,4.62%,167,1.89%,44535,4477,50.66%,757,8.57%,265,3.00%,1698,19.21%,12.1
51173,Virginia,Smyth,ARC,"Smyth County, Virginia",24786,12323,12323,11921,402,0,12463,3.26%,50.28%,12651,947,7.49%,777,6.14%,1890,14.94%,1489,11.77%,1894,14.97%,2145,16.96%,1428,11.29%,1397,11.04%,363,2.87%,321,2.54%,45061,5690,44.98%,1070,8.46%,472,3.73%,1977,15.63%,14.2
51185,Virginia,Tazewell,ARC,"Tazewell County, Virginia",33365,15198,15193,14328,865,5,18167,5.69%,54.45%,15800,1063,6.73%,1165,7.37%,1815,11.49%,1833,11.60%,2445,15.47%,2530,16.01%,1671,10.58%,2191,13.87%,582,3.68%,505,3.20%,46508,7594,48.06%,1244,7.87%,556,3.52%,2220,14.05%,14.9
51191,Virginia,Washington (+ Bristol city),ARC,"Washington County, Virginia",45965,25020,25009,23968,1041,11,20945,4.16%,45.57%,22013,877,3.98%,1186,5.39%,2161,9.82%,2485,11.29%,2688,12.21%,3936,17.88%,2795,12.70%,3630,16.49%,1195,5.43%,1060,4.82%,59116,10024,45.54%,1512,6.87%,513,2.33%,2529,11.49%,8.2
51195,Virginia,Wise (+ Norton city),ARC,"Wise County, Virginia",30055,13934,13922,12651,1271,12,16121,9.13%,53.64%,14052,747,5.32%,1334,9.49%,1785,12.70%,1514,10.77%,2008,14.29%,2978,21.19%,1485,10.57%,1485,10.57%,485,3.45%,231,1.64%,47541,6463,45.99%,1354,9.64%,416,2.96%,3063,21.80%,15.2
51197,Virginia,Wythe,ARC,"Wythe County, Virginia",23654,13311,13311,12623,688,0,10343,5.17%,43.73%,12424,919,7.40%,717,5.77%,1230,9.90%,1346,10.83%,1659,13.35%,2199,17.70%,1842,14.83%,1692,13.62%,435,3.50%,385,3.10%,53921,5352,43.08%,566,4.56%,326,2.62%,1399,11.26%,13.9
54001,West Virginia,Barbour,ARC,"Barbour County, West Virginia",12783,6375,6375,5728,647,0,6408,10.15%,50.13%,5789,460,7.95%,372,6.43%,672,11.61%,682,11.78%,1107,19.12%,1079,18.64%,399,6.89%,686,11.85%,228,3.94%,104,1.80%,44341,2665,46.04%,355,6.13%,57,0.98%,921,15.91%,18.8
54003,West Virginia,Berkeley,ARC,"Berkeley County, West Virginia",98259,65214,64932,61928,3004,282,33045,4.63%,33.63%,48528,1751,3.61%,1557,3.21%,2639,5.44%,3946,8.13%,5177,10.67%,9897,20.39%,7757,15.98%,8554,17.63%,4325,8.91%,2925,6.03%,73619,14443,29.76%,2640,5.44%,1217,2.51%,5324,10.97%,8.1
54005,West Virginia,Boone,ARC,"Boone County, West Virginia",17800,7873,7797,7033,764,76,9927,9.80%,55.77%,7992,435,5.44%,661,8.27%,794,9.93%,835,10.45%,910,11.39%,1322,16.54%,1146,14.34%,1434,17.94%,352,4.40%,103,1.29%,56182,4283,53.59%,745,9.32%,903,11.30%,1769,22.13%,12.8
54007,West Virginia,Braxton,ARC,"Braxton County, West Virginia",10487,4471,4452,3812,640,19,6016,14.38%,57.37%,4567,294,6.44%,301,6.59%,627,13.73%,632,13.84%,798,17.47%,915,20.04%,459,10.05%,367,8.04%,126,2.76%,48,1.05%,42245,2304,50.45%,349,7.64%,121,2.65%,721,15.79%,15
54009,West Virginia,Brooke,ARC,"Brooke County, West Virginia",18917,10207,10173,9592,581,34,8710,5.71%,46.04%,9593,412,4.29%,468,4.88%,979,10.21%,1092,11.38%,1734,18.08%,1507,15.71%,1432,14.93%,1283,13.37%,472,4.92%,214,2.23%,51963,4270,44.51%,463,4.83%,259,2.70%,1548,16.14%,6.8
54011,West Virginia,Cabell,ARC,"Cabell County, West Virginia",77413,42944,42738,40146,2592,206,34469,6.06%,44.53%,38854,3713,9.56%,2893,7.45%,4438,11.42%,3856,9.92%,4736,12.19%,6904,17.77%,4193,10.79%,4282,11.02%,1888,4.86%,1951,5.02%,48944,14249,36.67%,3141,8.08%,1420,3.65%,6147,15.82%,13.4
54013,West Virginia,Calhoun,ARC,"Calhoun County, West Virginia",5178,2196,2196,1927,269,0,2982,12.25%,57.59%,2416,216,8.94%,232,9.60%,431,17.84%,232,9.60%,434,17.96%,417,17.26%,175,7.24%,64,2.65%,169,7.00%,46,1.90%,39031,1278,52.90%,245,10.14%,43,1.78%,577,23.88%,29.7
54015,West Virginia,Clay,ARC,"Clay County, West Virginia",6502,2897,2897,2572,325,0,3605,11.22%,55.44%,2865,278,9.70%,139,4.85%,499,17.42%,318,11.10%,327,11.41%,589,20.56%,265,9.25%,198,6.91%,182,6.35%,70,2.44%,41530,1384,48.31%,302,10.54%,90,3.14%,821,28.66%,21.1
54017,West Virginia,Doddridge,ARC,"Doddridge County, West Virginia",6883,3125,3125,2990,135,0,3758,4.32%,54.60%,2345,32,1.36%,143,6.10%,308,13.13%,223,9.51%,339,14.46%,395,16.84%,202,8.61%,382,16.29%,88,3.75%,233,9.94%,56587,1181,50.36%,154,6.57%,22,0.94%,200,8.53%,13.1
54019,West Virginia,Fayette,ARC,"Fayette County, West Virginia",33244,15349,15325,14182,1143,24,17895,7.46%,53.83%,15938,1143,7.17%,1551,9.73%,1646,10.33%,1647,10.33%,1967,12.34%,3208,20.13%,1906,11.96%,2116,13.28%,404,2.53%,350,2.20%,50090,7545,47.34%,1378,8.65%,915,5.74%,3699,23.21%,18.1
54021,West Virginia,Gilmer,ARC,"Gilmer County, West Virginia",6380,2548,2548,2367,181,0,3832,7.10%,60.06%,2132,128,6.00%,126,5.91%,242,11.35%,236,11.07%,298,13.98%,469,22.00%,267,12.52%,283,13.27%,41,1.92%,42,1.97%,51552,979,45.92%,144,6.75%,16,0.75%,314,14.73%,8.2
54023,West Virginia,Grant,ARC,"Grant County, West Virginia",9255,5339,5339,5055,284,0,3916,5.32%,42.31%,4160,274,6.59%,206,4.95%,433,10.41%,489,11.75%,592,14.23%,929,22.33%,491,11.80%,510,12.26%,104,2.50%,132,3.17%,52877,1738,41.78%,259,6.23%,194,4.66%,572,13.75%,6.2
54025,West Virginia,Greenbrier,ARC,"Greenbrier County, West Virginia",27397,14025,14025,13422,603,0,13372,4.30%,48.81%,14724,972,6.60%,971,6.59%,1921,13.05%,1608,10.92%,2531,17.19%,2511,17.05%,1739,11.81%,1447,9.83%,460,3.12%,564,3.83%,45519,6604,44.85%,923,6.27%,312,2.12%,2385,16.20%,15.7
54027,West Virginia,Hampshire,ARC,"Hampshire County, West Virginia",19459,9561,9549,8739,810,12,9898,8.48%,50.87%,8066,376,4.66%,563,6.98%,998,12.37%,804,9.97%,1043,12.93%,1637,20.30%,763,9.46%,1355,16.80%,332,4.12%,195,2.42%,55222,4124,51.13%,405,5.02%,150,1.86%,1043,12.93%,15
54029,West Virginia,Hancock,ARC,"Hancock County, West Virginia",24211,13721,13696,12537,1159,25,10490,8.46%,43.33%,12985,475,3.66%,851,6.55%,1314,10.12%,1390,10.70%,1765,13.59%,2342,18.04%,1670,12.86%,2169,16.70%,466,3.59%,543,4.18%,57515,5683,43.77%,761,5.86%,348,2.68%,2089,16.09%,9.1
54031,West Virginia,Hardy,ARC,"Hardy County, West Virginia",11694,6712,6712,6406,306,0,4982,4.56%,42.60%,5740,315,5.49%,303,5.28%,553,9.63%,539,9.39%,1202,20.94%,1104,19.23%,578,10.07%,753,13.12%,196,3.41%,197,3.43%,49205,2600,45.30%,239,4.16%,506,8.82%,947,16.50%,15.5
54033,West Virginia,Harrison,ARC,"Harrison County, West Virginia",53216,30447,30378,28754,1624,69,22769,5.35%,42.79%,25888,1423,5.50%,1324,5.11%,2603,10.05%,2618,10.11%,3539,13.67%,4521,17.46%,3021,11.67%,3841,14.84%,1562,6.03%,1436,5.55%,56184,10125,39.11%,1891,7.30%,904,3.49%,3419,13.21%,10.3
54035,West Virginia,Jackson,ARC,"Jackson County, West Virginia",22546,10562,10541,10164,377,21,11984,3.58%,53.15%,11148,701,6.29%,725,6.50%,974,8.74%,1322,11.86%,1610,14.44%,1788,16.04%,1195,10.72%,1525,13.68%,698,6.26%,610,5.47%,55173,5056,45.35%,1051,9.43%,427,3.83%,2117,18.99%,16.7
54037,West Virginia,Jefferson,ARC,"Jefferson County, West Virginia",47150,29868,29838,28390,1448,30,17282,4.85%,36.65%,21472,877,4.08%,693,3.23%,1320,6.15%,1070,4.98%,1670,7.78%,2836,13.21%,3012,14.03%,4636,21.59%,2378,11.07%,2980,13.88%,93744,7349,34.23%,1041,4.85%,494,2.30%,2403,11.19%,6.4
54039,West Virginia,Kanawha,ARC,"Kanawha County, West Virginia",148335,81791,81257,76835,4422,534,66544,5.44%,44.86%,77252,5018,6.50%,4443,5.75%,8467,10.96%,7118,9.21%,10331,13.37%,14079,18.22%,8915,11.54%,10290,13.32%,4131,5.35%,4460,5.77%,55226,31431,40.69%,5283,6.84%,2666,3.45%,11937,15.45%,13.5
54041,West Virginia,Lewis,ARC,"Lewis County, West Virginia",13771,7234,7234,6608,626,0,6537,8.65%,47.47%,6839,483,7.06%,446,6.52%,851,12.44%,747,10.92%,868,12.69%,1003,14.67%,818,11.96%,889,13.00%,308,4.50%,426,6.23%,50552,2573,37.62%,550,8.04%,224,3.28%,1512,22.11%,13.5
54043,West Virginia,Lincoln,ARC,"Lincoln County, West Virginia",16393,7045,7045,6626,419,0,9348,5.95%,57.02%,7776,534,6.87%,614,7.90%,1115,14.34%,746,9.59%,773,9.94%,1834,23.59%,700,9.00%,990,12.73%,293,3.77%,177,2.28%,50985,3914,50.33%,632,8.13%,732,9.41%,1955,25.14%,16.6
54045,West Virginia,Logan,ARC,"Logan County, West Virginia",26593,10981,10981,9520,1461,0,15612,13.30%,58.71%,12375,1106,8.94%,897,7.25%,1735,14.02%,1424,11.51%,1946,15.73%,1657,13.39%,1155,9.33%,1556,12.57%,575,4.65%,324,2.62%,42194,6678,53.96%,1058,8.55%,321,2.59%,3431,27.73%,20.5
54047,West Virginia,McDowell,ARC,"McDowell County, West Virginia",15466,3897,3897,3309,588,0,11569,15.09%,74.80%,6547,923,14.10%,990,15.12%,1010,15.43%,901,13.76%,758,11.58%,859,13.12%,520,7.94%,500,7.64%,52,0.79%,34,0.52%,28235,3719,56.80%,983,15.01%,303,4.63%,2445,37.35%,30
54049,West Virginia,Marion,ARC,"Marion County, West Virginia",46213,27182,27144,25410,1734,38,19031,6.39%,41.18%,23083,1142,4.95%,977,4.23%,2426,10.51%,1953,8.46%,2903,12.58%,4635,20.08%,3074,13.32%,3907,16.93%,1176,5.09%,890,3.86%,59974,9211,39.90%,1640,7.10%,513,2.22%,3564,15.44%,12.2
54051,West Virginia,Marshall,ARC,"Marshall County, West Virginia",25536,13683,13683,13143,540,0,11853,3.95%,46.42%,12055,693,5.75%,709,5.88%,1574,13.06%,1241,10.29%,1102,9.14%,2341,19.42%,1192,9.89%,1908,15.83%,791,6.56%,504,4.18%,58129,5107,42.36%,575,4.77%,206,1.71%,2099,17.41%,12
54053,West Virginia,Mason,ARC,"Mason County, West Virginia",20878,9721,9702,9417,285,19,11157,2.94%,53.44%,10120,785,7.76%,343,3.39%,1188,11.74%,1072,10.59%,1521,15.03%,1769,17.48%,1391,13.75%,988,9.76%,551,5.44%,512,5.06%,53058,4344,42.92%,749,7.40%,316,3.12%,1636,16.17%,13.7
54055,West Virginia,Mercer,ARC,"Mercer County, West Virginia",48586,24161,24129,23119,1010,32,24425,4.19%,50.27%,24471,1238,5.06%,1705,6.97%,3277,13.39%,3255,13.30%,3741,15.29%,3771,15.41%,3336,13.63%,2548,10.41%,762,3.11%,838,3.42%,46409,11259,46.01%,2224,9.09%,467,1.91%,5737,23.44%,15.2
54057,West Virginia,Mineral,ARC,"Mineral County, West Virginia",22399,12451,12451,11730,721,0,9948,5.79%,44.41%,10532,434,4.12%,689,6.54%,951,9.03%,778,7.39%,1204,11.43%,1734,16.46%,2038,19.35%,1693,16.07%,588,5.58%,423,4.02%,64728,4701,44.64%,581,5.52%,828,7.86%,1570,14.91%,10.3
54059,West Virginia,Mingo,ARC,"Mingo County, West Virginia",19054,7161,7161,6360,801,0,11893,11.19%,62.42%,9093,1044,11.48%,1195,13.14%,1219,13.41%,768,8.45%,1200,13.20%,1453,15.98%,889,9.78%,920,10.12%,315,3.46%,90,0.99%,38305,4617,50.78%,1634,17.97%,462,5.08%,3121,34.32%,24.3
54061,West Virginia,Monongalia,ARC,"Monongalia County, West Virginia",91078,57830,57643,54386,3257,187,33248,5.65%,36.50%,44206,4036,9.13%,2092,4.73%,3936,8.90%,4247,9.61%,4435,10.03%,6817,15.42%,4450,10.07%,6342,14.35%,3900,8.82%,3951,8.94%,60893,10776,24.38%,1538,3.48%,1183,2.68%,3651,8.26%,10.3
54063,West Virginia,Monroe,ARC,"Monroe County, West Virginia",10244,5183,5183,4632,551,0,5061,10.63%,49.40%,4596,238,5.18%,280,6.09%,447,9.73%,484,10.53%,716,15.58%,983,21.39%,695,15.12%,485,10.55%,166,3.61%,102,2.22%,52392,2667,58.03%,288,6.27%,173,3.76%,689,14.99%,9.5
54065,West Virginia,Morgan,ARC,"Morgan County, West Virginia",14638,8223,8210,7791,419,13,6415,5.10%,43.82%,7053,293,4.15%,270,3.83%,463,6.56%,721,10.22%,885,12.55%,1639,23.24%,1045,14.82%,1184,16.79%,317,4.49%,236,3.35%,61021,3399,48.19%,363,5.15%,206,2.92%,845,11.98%,7.4
54067,West Virginia,Nicholas,ARC,"Nicholas County, West Virginia",20367,9825,9825,9174,651,0,10542,6.63%,51.76%,9644,596,6.18%,690,7.15%,1161,12.04%,1128,11.70%,1348,13.98%,1597,16.56%,1305,13.53%,1202,12.46%,325,3.37%,292,3.03%,48826,4910,50.91%,732,7.59%,207,2.15%,2180,22.60%,12.1
54069,West Virginia,Ohio,ARC,"Ohio County, West Virginia",35059,19881,19876,18826,1050,5,15178,5.28%,43.29%,17487,1176,6.72%,1253,7.17%,1874,10.72%,1549,8.86%,2234,12.78%,2348,13.43%,2281,13.04%,2567,14.68%,1110,6.35%,1095,6.26%,55521,7511,42.95%,1005,5.75%,361,2.06%,2800,16.01%,9.3
54071,West Virginia,Pendleton,ARC,"Pendleton County, West Virginia",5174,2666,2666,2471,195,0,2508,7.31%,48.47%,2361,100,4.24%,122,5.17%,256,10.84%,237,10.04%,436,18.47%,468,19.82%,337,14.27%,287,12.16%,75,3.18%,43,1.82%,52458,1256,53.20%,111,4.70%,200,8.47%,305,12.92%,13.3
54073,West Virginia,Pleasants,ARC,"Pleasants County, West Virginia",6376,3314,3314,3074,240,0,3062,7.24%,48.02%,2737,111,4.06%,121,4.42%,275,10.05%,349,12.75%,263,9.61%,501,18.30%,292,10.67%,518,18.93%,182,6.65%,125,4.57%,59666,1065,38.91%,143,5.22%,98,3.58%,381,13.92%,4.6
54075,West Virginia,Pocahontas,ARC,"Pocahontas County, West Virginia",6694,2796,2796,2571,225,0,3898,8.05%,58.23%,2951,151,5.12%,171,5.79%,485,16.44%,395,13.39%,451,15.28%,595,20.16%,321,10.88%,218,7.39%,101,3.42%,63,2.13%,41680,1606,54.42%,246,8.34%,71,2.41%,616,20.87%,18
